Destination,Package Name,Day,City,Type,Code,No of Nights
Bali,Thrills of Bali for Two,1,Seminyak,Transfer,TRA_51502,
Bali,Thrills of Bali for Two,1,Seminyak,Hotel,,5
Bali,Thrills of Bali for Two,1,Seminyak,Activity,ACT_55324,
Bali,Thrills of Bali for Two,2,Seminyak,Activity,ACT_57296,
Bali,Thrills of Bali for Two,3,Seminyak,Activity,ACT_55350,
Bali,Thrills of Bali for Two,4,Seminyak,Activity,ACT_55426,
Bali,Thrills of Bali for Two,6,Seminyak,Transfer,TRA_52107,
Bali,Thrills of Bali for Two,6,Ubud,Hotel,,2
Bali,Thrills of Bali for Two,6,Ubud,Activity,ACT_55528,
Bali,Thrills of Bali for Two,7,Ubud,Activity,ACT_57641,
Bali,Thrills of Bali for Two,8,Ubud,Transfer,TRA_51473,
Bali,Bali Funventure,1,Kuta,Transfer,TRA_52029,
Bali,Bali Funventure,1,Kuta,Hotel,,4
Bali,Bali Funventure,1,Kuta,Activity,ACT_55324,
Bali,Bali Funventure,2,Kuta,Activity,ACT_54239,
Bali,Bali Funventure,3,Kuta,Activity,ACT_55543,
Bali,Bali Funventure,4,Kuta,Activity,ACT_55325,
Bali,Bali Funventure,5,Kuta,Transfer,TRA_52106,
Bali,Bali Funventure,5,Ubud,Hotel,,2
Bali,Bali Funventure,5,Ubud,Activity,ACT_57293,
Bali,Bali Funventure,6,Ubud,Activity,ACT_57193,
Bali,Bali Funventure,7,Ubud,Transfer,TRA_51473,
Bali,Island Highs,1,Seminyak,Transfer,TRA_51502,
Bali,Island Highs,1,Seminyak,Hotel,,2
Bali,Island Highs,1,Seminyak,Activity,ACT_55324,
Bali,Island Highs,2,Seminyak,Activity,ACT_57296,
Bali,Island Highs,3,Seminyak,Transfer,TRA_52104,
Bali,Island Highs,3,Kuta,Hotel,,3
Bali,Island Highs,3,Kuta,Activity,ACT_55350,
Bali,Island Highs,4,Kuta,Activity,ACT_54243,
Bali,Island Highs,5,Kuta,Activity,ACT_55429,
Bali,Island Highs,6,Kuta,Transfer,TRA_51471,
Bali,Bali Adventure Highs,1,Ubud,Transfer,TRA_51472,
Bali,Bali Adventure Highs,1,Ubud,Hotel,,2
Bali,Bali Adventure Highs,1,Ubud,Activity,ACT_55324,
Bali,Bali Adventure Highs,2,Ubud,Activity,ACT_55528,
Bali,Bali Adventure Highs,3,Ubud,Transfer,TRA_52105,
Bali,Bali Adventure Highs,3,Kuta,Hotel,,3
Bali,Bali Adventure Highs,3,Kuta,Activity,ACT_55350,
Bali,Bali Adventure Highs,4,Kuta,Activity,ACT_54986,
Bali,Bali Adventure Highs,5,Kuta,Activity,ACT_52380,
Bali,Bali Adventure Highs,6,Kuta,Transfer,TRA_51471,
Bali,Beach Bliss for Two,1,Kuta,Transfer,TRA_52029,
Bali,Beach Bliss for Two,1,Kuta,Hotel,,4
Bali,Beach Bliss for Two,1,Kuta,Activity,ACT_55324,
Bali,Beach Bliss for Two,2,Kuta,Activity,ACT_55415,
Bali,Beach Bliss for Two,3,Kuta,Activity,ACT_55426,
Bali,Beach Bliss for Two,4,Kuta,Activity,ACT_57277,
Bali,Beach Bliss for Two,5,Kuta,Transfer,TRA_52103,
Bali,Beach Bliss for Two,5,Seminyak,Hotel,,2
Bali,Beach Bliss for Two,5,Seminyak,Activity,ACT_55330,
Bali,Beach Bliss for Two,6,Seminyak,Activity,ACT_54243,
Bali,Beach Bliss for Two,7,Seminyak,Transfer,TRA_51503,
Bali,Bali Beach Family Fun,1,Nusa Dua,Transfer,TRA_55471,
Bali,Bali Beach Family Fun,1,Nusa Dua,Hotel,,4
Bali,Bali Beach Family Fun,1,Nusa Dua,Activity,ACT_55324,
Bali,Bali Beach Family Fun,2,Nusa Dua,Activity,ACT_55415,
Bali,Bali Beach Family Fun,3,Nusa Dua,Activity,ACT_55426,
Bali,Bali Beach Family Fun,4,Nusa Dua,Activity,ACT_55407,
Bali,Bali Beach Family Fun,5,Nusa Dua,Transfer,TRA_55611,
Bali,Bali Beach Family Fun,5,Seminyak,Hotel,,2
