Activity ID,currency,min_threshold,max_threshold,price_per_person,price_per_vehicle,slab_type,vehicle_type
RAIL_56208,USD,0,5,0,,ticket,none
RAIL_56208,USD,6,11,12,,ticket,none
RAIL_56208,USD,12,99,20,,ticket,none
RAIL_56209,USD,0,5,0,,ticket,none
RAIL_56209,USD,6,11,10,,ticket,none
RAIL_56209,USD,12,99,20,,ticket,none
RAIL_56210,USD,0,5,0,,ticket,none
RAIL_56210,USD,6,11,48,,ticket,none
RAIL_56210,USD,12,99,96,,ticket,none
RAIL_56327,USD,0,5,0,,ticket,none
RAIL_56327,USD,6,11,48,,ticket,none
RAIL_56327,USD,12,99,93,,ticket,none
RAIL_56328,USD,0,5,0,,ticket,none
RAIL_56328,USD,6,11,47,,ticket,none
RAIL_56328,USD,12,99,94,,ticket,none
RAIL_56329,USD,0,5,0,,ticket,none
RAIL_56329,USD,6,11,48,,ticket,none
RAIL_56329,USD,12,99,97,,ticket,none
TRA_57764,USD,0,3,0,,ticket,none
TRA_57764,USD,4,11,35,,ticket,none
TRA_57764,USD,12,17,52,,ticket,none
TRA_57764,USD,18,99,68,,ticket,none
TRA_57765,USD,0,3,0,,ticket,none
TRA_57765,USD,4,11,35,,ticket,none
TRA_57765,USD,12,17,52,,ticket,none
TRA_57765,USD,18,99,68,,ticket,none
TRA_57766,USD,0,3,0,,ticket,none
TRA_57766,USD,4,11,36,,ticket,none
TRA_57766,USD,12,64,58,,ticket,none
TRA_57766,USD,65,99,52,,ticket,none
TRA_57767,USD,0,15,0,,ticket,none
TRA_57767,USD,16,18,4,,ticket,none
TRA_57767,USD,19,22,4,,ticket,none
TRA_57767,USD,23,99,7,,ticket,none
TRA_57768,USD,0,5,0,,ticket,none
TRA_57768,USD,6,11,3,,ticket,none
TRA_57768,USD,12,99,6,,ticket,none
TRA_57769,USD,0,5,0,,ticket,none
TRA_57769,USD,6,99,10,,ticket,none
TRA_57770,USD,0,5,0,,ticket,none
TRA_57770,USD,6,11,6,,ticket,none
TRA_57770,USD,12,99,10,,ticket,none
TRA_57771,USD,0,5,0,,ticket,none
TRA_57771,USD,6,12,5,,ticket,none
TRA_57771,USD,13,99,11,,ticket,none
TRA_57772,USD,0,2,0,,ticket,none
TRA_57772,USD,3,12,189,,ticket,none
TRA_57772,USD,13,99,230,,ticket,none
TRA_57773,USD,0,5,0,,ticket,none
TRA_57773,USD,6,14,11,,ticket,none
TRA_57773,USD,15,99,22,,ticket,none
TRA_57774,USD,0,5,0,,ticket,none
TRA_57774,USD,6,11,5,,ticket,none
TRA_57774,USD,12,99,10,,ticket,none
TRA_57775,USD,0,5,0,,ticket,none
TRA_57775,USD,6,12,6,,ticket,none
TRA_57775,USD,13,99,12,,ticket,none
TRA_57776,USD,0,3,0,,ticket,none
TRA_57776,USD,4,11,3,,ticket,none
TRA_57776,USD,12,99,12,,ticket,none
TRA_57777,USD,0,3,0,,ticket,none
TRA_57777,USD,4,11,80,,ticket,none
TRA_57777,USD,12,99,107,,ticket,none
TRA_57778,USD,0,3,0,,ticket,none
TRA_57778,USD,4,11,54,,ticket,none
TRA_57778,USD,12,99,54,,ticket,none
TRA_57779,USD,0,5,0,,ticket,none
TRA_57779,USD,6,11,51,,ticket,none
TRA_57779,USD,12,99,101,,ticket,none
TRA_57780,USD,0,3,0,,ticket,none
TRA_57780,USD,4,99,97,,ticket,none
TRA_57781,USD,0,3,0,,ticket,none
TRA_57781,USD,4,6,6,,ticket,none
TRA_57781,USD,7,15,15,,ticket,none
TRA_57781,USD,16,17,18,,ticket,none
TRA_57781,USD,18,99,19,,ticket,none
TRA_57782,USD,0,2,0,,ticket,none
TRA_57782,USD,3,11,187,,ticket,none
TRA_57782,USD,12,99,230,,ticket,none
TRA_57783,USD,0,3,0,,ticket,none
TRA_57783,USD,4,11,63,,ticket,none
TRA_57783,USD,12,99,69,,ticket,none
TRA_57784,USD,0,5,0,,ticket,none
TRA_57784,USD,6,11,4,,ticket,none
TRA_57784,USD,12,99,7,,ticket,none
TRA_57785,USD,0,5,0,,ticket,none
TRA_57785,USD,6,11,5,,ticket,none
TRA_57785,USD,12,99,10,,ticket,none
TRA_57790,USD,3,99,58,,ticket,none
TRA_57791,USD,0,2,0,,ticket,none
TRA_57791,USD,3,11,85,,ticket,none
TRA_57791,USD,12,99,95,,ticket,none
TRA_57792,USD,0,2,0,,ticket,none
TRA_57792,USD,3,11,175,,ticket,none
TRA_57792,USD,12,99,217,,ticket,none
TRA_57793,USD,0,12,13,,ticket,none
TRA_57793,USD,13,99,26,,ticket,none
TRA_57794,USD,0,99,10,,ticket,none
TRA_57795,USD,0,3,0,,ticket,none
TRA_57795,USD,4,99,119,,ticket,none
TRA_57796,USD,0,3,0,,ticket,none
TRA_57796,USD,4,99,176,,ticket,none
TRA_57797,USD,0,3,0,,ticket,none
TRA_57797,USD,4,99,87,,ticket,none
TRA_57802,USD,0,2,0,,ticket,none
TRA_57802,USD,3,12,64,,ticket,none
TRA_57802,USD,13,99,85,,ticket,none
TRA_57805,USD,0,5,0,,ticket,none
TRA_57805,USD,6,11,3,,ticket,none
TRA_57805,USD,12,99,5,,ticket,none
TRA_57806,USD,0,5,0,,ticket,none
TRA_57806,USD,6,11,3,,ticket,none
TRA_57806,USD,12,99,5,,ticket,none
TRA_57807,USD,0,1,0,,ticket,none
TRA_57807,USD,2,11,53,,ticket,none
TRA_57807,USD,12,99,63,,ticket,none
TRA_57808,USD,0,6,0,,ticket,none
TRA_57808,USD,7,12,4,,ticket,none
TRA_57808,USD,13,99,10,,ticket,none
TRA_57809,USD,0,2,0,,ticket,none
TRA_57809,USD,3,5,61,,ticket,none
TRA_57809,USD,6,99,61,,ticket,none
TRA_57811,USD,10,99,56,,ticket,none
TRA_57812,USD,10,99,69,,ticket,none
TRA_57813,USD,0,3,0,,ticket,none
TRA_57813,USD,4,11,53,,ticket,none
TRA_57813,USD,12,99,53,,ticket,none
TRA_57814,USD,0,2,0,,ticket,none
TRA_57814,USD,3,99,59,,ticket,none
TRA_57815,USD,0,3,0,,ticket,none
TRA_57815,USD,4,11,74,,ticket,none
TRA_57815,USD,12,99,95,,ticket,none
TRA_57816,USD,0,5,0,,ticket,none
TRA_57816,USD,6,11,4,,ticket,none
TRA_57816,USD,12,99,9,,ticket,none
TRA_57817,USD,0,5,0,,ticket,none
TRA_57817,USD,6,11,3,,ticket,none
TRA_57817,USD,12,99,6,,ticket,none
TRA_57786,USD,1,5,,285,transfer,none
TRA_57798,USD,1,9,,496,transfer,none
TRA_57799,USD,1,9,,397,transfer,none
TRA_57800,USD,1,9,,364,transfer,none
TRA_57801,USD,1,5,,286,transfer,none
TRA_57810,USD,1,9,,513,transfer,none
TRA_57829,USD,1,9,,296,transfer,none
TRA_57830,USD,1,9,,323,transfer,none
TRA_57803,USD,0,99,14,,ticket,none
TRA_57804,USD,0,99,14,,ticket,none
ATRA_57818,USD,2,3,,55,transfer,none
ATRA_57818,USD,4,5,,62,transfer,none
ATRA_57818,USD,6,7,,79,transfer,none
ATRA_57818,USD,8,9,,107,transfer,none
ATRA_57829,USD,2,3,,55,transfer,none
ATRA_57829,USD,4,5,,62,transfer,none
ATRA_57829,USD,6,7,,79,transfer,none
ATRA_57829,USD,8,9,,107,transfer,none
ATRA_57819,USD,2,3,,88,transfer,none
ATRA_57819,USD,4,5,,95,transfer,none
ATRA_57819,USD,6,7,,110,transfer,none
ATRA_57819,USD,8,9,,130,transfer,none
