ID,title,seller_title,additional_details,cache_price,cancellation,city,cms_activity_type,country,day_time,description,duration,ending_point,exclusions,highlights,images,inclusions,pickup_instructions,starting_point,tags,transfer,travel_group,travel_theme,type
TRA_57764,Tokyo Disneyland 1-Day Ticket,Tokyo Disneyland 1-Day Ticket,,,D-15,Tokyo,ACTIVITY_WITH_ONLY_TICKET,Japan,,"The Kingdom of Dreams and Magic, consists of seven themed lands, each offering fun attractions in line with its theme, as well as a variety of unique shops and restaurants. ・World Bazaar: A bustling early 20th century American town center ・Adventureland: A world of adventure rich in nature and cultural diversity ・Westernland: America’s “Wild West” abounding with the frontier spirit ・Critter Country: A neighborhood of friendly creatures and their stories ・Fantasyland: A world of fairytales and dreams replete with Disney magic ・Toontown: A fun-filled neighborhood where Mickey and his friends live ・Tomorrowland: A land of tomorrow where science and technology are in harmony Have a magical day at Tokyo Disneyland with your Disney friends! (1.) “it's a small world”: As children of the world sing, enjoy the “happiest cruise that ever sailed.” (2.) Enchanted Tale of Beauty and the Beast: Board magical cups that seem to dance through this enchanting story (3.) Big Thunder Mountain: A wild ride with sudden drops and turns on runaway mine train (4.) Dumbo The Flying Elephant: Fly high through the sky on Dumbo's back (5.) Splash Mountain: A thrilling trip on a log boat awaits you! (6.) Minnie's Style Studio: Minnie Mouse, as a fashion designer, will greet guests wearing her latest design. Visit her office and pass through the workroom, then enter the photo studio for a photo with Minnie!
The Kingdom of Dreams and Magic, consists of seven themed lands, each offering fun attractions in line with its theme, as well as a variety of unique shops and restaurants.
・World Bazaar: A bustling early 20th century American town center ・Adventureland: A world of adventure rich in nature and cultural diversity ・Westernland: America’s “Wild West” abounding with the frontier spirit ・Critter Country: A neighborhood of friendly creatures and their stories ・Fantasyland: A world of fairytales and dreams replete with Disney magic ・Toontown: A fun-filled neighborhood where Mickey and his friends live ・Tomorrowland: A land of tomorrow where science and technology are in harmony
Have a magical day at Tokyo Disneyland with your Disney friends!
(1.) “it's a small world”: As children of the world sing, enjoy the “happiest cruise that ever sailed.” (2.) Enchanted Tale of Beauty and the Beast: Board magical cups that seem to dance through this enchanting story (3.) Big Thunder Mountain: A wild ride with sudden drops and turns on runaway mine train (4.) Dumbo The Flying Elephant: Fly high through the sky on Dumbo's back (5.) Splash Mountain: A thrilling trip on a log boat awaits you! (6.) Minnie's Style Studio: Minnie Mouse, as a fashion designer, will greet guests wearing her latest design. Visit her office and pass through the workroom, then enter the photo studio for a photo with Minnie!",,,"Admission to Tokyo DisneySea
Transport
Other personal expenses",,"[{img_url=TRA_57764, img_alt=Tokyo Disneyland 1-Day Ticket}]",Tokyo Disneyland 1-Day Ticket,,,Tickets & Attraction Passes,none,"Family, Friend","NATURE, ADVENTURE",
TRA_57765,Tokyo DisneySea 1-Day Ticket,Tokyo DisneySea 1-Day Ticket,,,D-15,Tokyo,ACTIVITY_WITH_ONLY_TICKET,Japan,,"The only Disney park themed to the myths and legends of the sea. Each of the eight themed ports features attractions, restaurants, shops, and more, inviting guests to a world “Where Adventure and Imagination Set Sail!” ・Mediterranean Harbor: A romantic Southern European port town ・American Waterfront: The nostalgia-filled American harbors of New York and Cape Cod ・Port Discovery: A futuristic marina located across the horizons of time ・Lost River Delta: The ruins of an ancient civilization in the Central American jungles ・Fantasy Springs: Magical springs that lead to worlds of Disney fantasy ・Arabian Coast: The world of The Arabian Nights filled with magic and mystery ・Mermaid Lagoon: An undersea kingdom home to Ariel, the little mermaid, and her friends ・Mysterious Island: The eccentric genius Captain Nemo's secret base (1.) Toy Story Mania!: Board a tram and play some fun carnival games with Woody, Buzz, and their pals (2.) Journey to the Center of the Earth: While exploring on a subterranean vehicle, unexpected danger sends you hurtling through the caverns (3.) Soaring: Fantastic Flight: Enjoy a journey over famous landscapes of the world! (4.) Tower of Terror: Board an elevator for the penthouse, but beware! A terrifying experience awaits you (5.) Anna and Elsa's Frozen Journey: In this attraction, guests board a boat and enjoy the heartwarming tale of Anna and Elsa, accompanied by well-known songs from the Disney Animation film, Frozen (6.) Rapunzel's Lantern Festival: This attraction takes guests on a romantic boat ride that leads to the annual Lantern Festival
The only Disney park themed to the myths and legends of the sea. Each of the eight themed ports features attractions, restaurants, shops, and more, inviting guests to a world “Where Adventure and Imagination Set Sail!”
・Mediterranean Harbor: A romantic Southern European port town ・American Waterfront: The nostalgia-filled American harbors of New York and Cape Cod ・Port Discovery: A futuristic marina located across the horizons of time ・Lost River Delta: The ruins of an ancient civilization in the Central American jungles ・Fantasy Springs: Magical springs that lead to worlds of Disney fantasy ・Arabian Coast: The world of The Arabian Nights filled with magic and mystery ・Mermaid Lagoon: An undersea kingdom home to Ariel, the little mermaid, and her friends ・Mysterious Island: The eccentric genius Captain Nemo's secret base
(1.) Toy Story Mania!: Board a tram and play some fun carnival games with Woody, Buzz, and their pals (2.) Journey to the Center of the Earth: While exploring on a subterranean vehicle, unexpected danger sends you hurtling through the caverns (3.) Soaring: Fantastic Flight: Enjoy a journey over famous landscapes of the world! (4.) Tower of Terror: Board an elevator for the penthouse, but beware! A terrifying experience awaits you (5.) Anna and Elsa's Frozen Journey: In this attraction, guests board a boat and enjoy the heartwarming tale of Anna and Elsa, accompanied by well-known songs from the Disney Animation film, Frozen (6.) Rapunzel's Lantern Festival: This attraction takes guests on a romantic boat ride that leads to the annual Lantern Festival",,,"Admission to Tokyo Disneyland
Transport
Other personal expenses",,"[{img_url=TRA_57765, img_alt=Tokyo DisneySea 1-Day Ticket}]",Tokyo DisneySea 1-Day Ticket,,,Tickets & Attraction Passes,none,"Couple, Friend","CULTURE, HISTORY, ADVENTURE",
TRA_57766,Universal Studios Japan 1-day Studio Pass,Universal Studios Japan 1-day Studio Pass,,,Non-Refundable,Osaka,ACTIVITY_WITH_ONLY_TICKET,Japan,,"One of Japan's leading theme parks, highly praised by visitors to Japan! A super-exciting experience that will unleash your emotions is here! No. 1 in TripAdvisor Travelers' Choice Best of the Best in the Japanese theme park category for four consecutive years (2017-2020). A thrilling experience where you can become a character in a realistic game or animation world!",,,"Express pass, additional expense for chargable attractions
Area Timed Entry Ticket / Standby Entry Ticket to enter SUPER NINTENDO WORLD™ (depending on crowd conditions, entry may be allowed without a ticket)",,"[{img_url=TRA_57766, img_alt=Universal Studios Japan 1-day Studio Pass}]",1 [E-ticket] Universal Studios Japan 1-day pass,,,Tickets & Attraction Passes,none,"Family, Friend, Couple, Solo",THRILL_SEEKER,
TRA_57767,Osaka Castle Museum Ticket,Osaka Castle Museum Ticket," OPENING HOURS
Monday-Sunday: 09:00-18:00 Last admission: 17:30
Monday-Sunday: 09:00-18:00
Last admission: 17:30
T ELIGIBILITY Children aged 0-15 can enter free of charge Overseas visitors aged 0-15 will be asked to present a passport as proof of identification High school and college students aged 16-22 are eligible for discounted student rates and must show a student ID on site Overseas students should present an International Student Identification Card (ISIC) for verification
Tour guide
Other personal expenses
ELIGIBILITY
Children aged 0-15 can enter free of charge Overseas visitors aged 0-15 will be asked to present a passport as proof of identification High school and college students aged 16-22 are eligible for discounted student rates and must show a student ID on site Overseas students should present an International Student Identification Card (ISIC) for verification
Children aged 0-15 can enter free of charge
Overseas visitors aged 0-15 will be asked to present a passport as proof of identification
High school and college students aged 16-22 are eligible for discounted student rates and must show a student ID on site
Overseas students should present an International Student Identification Card (ISIC) for verification",,Non-Refundable,Osaka,ACTIVITY_WITH_ONLY_TICKET,Japan,,"Explore over 10,000 historical artifacts inside the main tower, including samurai armor, weapons, and personal items from the Toyotomi era. Don't miss the chance to try on a replica of Hideyoshi's golden-horned helmet",,,"Tour guide
Other personal expenses",,"[{img_url=TRA_57767, img_alt=Osaka Castle Museum Ticket}]","Admission to: Osaka Castle Main Tower
Admission to: Toyotomi Ishigaki Museum",,,Tickets & Attraction Passes,none,Family,"CULTURE, HISTORY",
TRA_57768,26-hour Osaka Metro Pass,26-hour Osaka Metro Pass,"A paying adult can only bring 2 children aged 0-5. A child ticket will be required for each additional child Child ticket is for participants aged 6-11
A paying adult can only bring 2 children aged 0-5. A child ticket will be required for each additional child
Child ticket is for participants aged 6-11",,Non-Refundable,Osaka,ACTIVITY_WITH_ONLY_TICKET,Japan,,"Unlimited rides on all Osaka Metro Lines Enjoy comfortable rides with clean interiors and quick service Enjoy discounts at about 20 attractions
Unlimited rides on all Osaka Metro Lines
Enjoy comfortable rides with clean interiors and quick service
Enjoy discounts at about 20 attractions",,,"Other personal expenses
Osaka City Bus
Hankyu, Kitakyu, Kintetsu, or other private railway lines
If you travel beyond the valid area, please inform the station staff at your destination and pay the required fare by cash",,"[{img_url=TRA_57768, img_alt=26-hour Osaka Metro Pass}]","1 Osaka Metro 26-hour Pass(QR Code Entry)
Unlimited rides on all lines indicated in the
Special discounts at over 20 popular tourist attractions in Osaka City",,,Tickets & Attraction Passes,none,Family,"CITY, CULTURE, LUXURY",
TRA_57769,Osaka Metro & Osaka City Bus Pass · 2-day · E-ticket,Osaka Metro & Osaka City Bus Pass · 2-day · E-ticket,,,Non-Refundable,Osaka,ACTIVITY_WITH_ONLY_TICKET,Japan,,"Unlimited rides on all Osaka Metro Lines Enjoy comfortable rides with clean interiors and quick service Enjoy discounts at about 20 attractions
Unlimited rides on all Osaka Metro Lines
Enjoy comfortable rides with clean interiors and quick service
Enjoy discounts at about 20 attractions",,,"Other personal expenses
Osaka City Bus
Hankyu, Kitakyu, Kintetsu, or other private railway lines
If you travel beyond the valid area, please inform the station staff at your destination and pay the required fare by cash",,"[{img_url=TRA_57769, img_alt=Osaka Metro & Osaka City Bus Pass · 2-day · E-ticket}]","Osaka Metro & Osaka City Bus Pass · 2-day · E-ticket(QR Code Entry)
2-day travel pass
[Osaka Metro] Unlimited rides on all lines indicated in the map
[Osaka City Bus] Unlimited rides on Osaka City Bus lines
Enjoy discounts at about 20 attractions",,,Tickets & Attraction Passes,none,Family,"CITY, CULTURE, LUXURY",
TRA_57770,48-hour Osaka Metro Pass,48-hour Osaka Metro Pass,"A paying adult can only bring 2 children aged 0-5. A child ticket will be required for each additional child Child ticket is for participants aged 6-11
A paying adult can only bring 2 children aged 0-5. A child ticket will be required for each additional child
Child ticket is for participants aged 6-11",,Non-Refundable,Osaka,ACTIVITY_WITH_ONLY_TICKET,Japan,,"Unlimited rides on all Osaka Metro Lines Enjoy comfortable rides with clean interiors and quick service Enjoy discounts at about 20 attractions
Unlimited rides on all Osaka Metro Lines
Enjoy comfortable rides with clean interiors and quick service
Enjoy discounts at about 20 attractions",,,"Other personal expenses
Osaka City Bus
Hankyu, Kitakyu, Kintetsu, or other private railway lines
If you travel beyond the valid area, please inform the station staff at your destination and pay the required fare by cash",,"[{img_url=TRA_57770, img_alt=48-hour Osaka Metro Pass}]","48-hour Osaka Metro Pass(QR Code Entry)
Unlimited rides on all lines indicated in the
Special discounts at over 20 popular tourist attractions in Osaka City",,,Tickets & Attraction Passes,none,Family,"CITY, CULTURE, LUXURY",
TRA_57771,Osaka Wonder Cruise(Dotonbori Route),Osaka Wonder Cruise(Dotonbori Route),"
Boarding Time (Departure Time) -17:00(17:10) /17:30(17:40)/ 18:00(18:10)/18:30(18:40)/19:00(19:10)/ 19:30(19:40)/20:00(20:10)/20:30(20:40)/21:00(21:10) /21:30(21:40) Depending on the congestion of the last ferry, boarding may be deferred to the following day. You may not be able to board your desired departure depending on congestion. (Evening departures and later may sell out quickly, in which case you will be directed to departures on subsequent days.) * Departs 10 minutes after application time (The operating vessel may change depending on maintenance or reservation status)",,Non-Refundable,Osaka,ACTIVITY_WITH_ONLY_TICKET,Japan,,"This cruise tour takes you around major tourist attractions in Osaka. Enjoy the Dotonbori area from the water, a different perspective than usual, with Wonder Cruise! This cruise, which allows you to fully enjoy Osaka, the ""Water Capital,"" is full of surprises that you won't encounter just by strolling through the streets. Enjoy a new Osaka sightseeing attraction",,,Other personal expenses,,"[{img_url=TRA_57771, img_alt=Osaka Wonder Cruise(Dotonbori Route)}]","20-minute cruise (View facilities such as Kani Doraku Dotonbori Honten and the Dotonbori Glico Sign from the ship)
Covered cruise fare for rainy days
Onboard toilet with bidet",,,Tickets & Attraction Passes,none,"Family, Friend, Couple, Solo","CITY, CULTURE",
TRA_57772,Hiroshima & Miyajima 1 Day Bus Tour With lunch With Roundtrip by Shinkasen from Osaka,Hiroshima & Miyajima 1 Day Bus Tour With lunch With Roundtrip by Shinkasen from Osaka,,,D-7,Osaka,ACTIVITY_WITH_SHARED_TRANSFER,Japan,,"Experience Hiroshima with a Live Professional: Enjoy real-time guidance and historical stories from our expert guide We will take you to the top popular sightseeing spots in Hiroshima city on this bus tour You will visit the main popular attractions on a bus trip from Hiroshima station Hiroshima prefecture has a couple of world heritage sites, the Atomic Bomb Dome and the Itsukushima shrine. And you can explore both of them on this tour
Experience Hiroshima with a Live Professional: Enjoy real-time guidance and historical stories from our expert guide
We will take you to the top popular sightseeing spots in Hiroshima city on this bus tour
You will visit the main popular attractions on a bus trip from Hiroshima station
Hiroshima prefecture has a couple of world heritage sites, the Atomic Bomb Dome and the Itsukushima shrine. And you can explore both of them on this tour",,,Other personal expenses,,"[{img_url=TRA_57772, img_alt=Hiroshima & Miyajima 1 Day Bus Tour With lunch With Roundtrip by Shinkasen from Osaka}]","English-speaking guide
Lunch
Air-conditioned bus
Entrance fee of Itsukushima shrine
Entrance fee of Hiroshima Peace Memorial Museum
Shinkansen ticket (Round trip / Shin-Osaka ⇔ Hiroshima)
Miyajima Ferry ticket",,,Tour & activities,shared,Couple,"CITY, CULTURE, HISTORY",
TRA_57773,Tokyo Skytree Ticket(Tembo Deck & Galleria)(Morning Slot),Tokyo Skytree Ticket(Tembo Deck & Galleria)(Morning Slot)," Additional Information Please note that when you enter the building you must pass through a baggage check and metal detector Pets are not allowed inside the attraction Bringing of dangerous articles, wireless technologies, and other related items are prohibited inside the facility All tickets are non-refundable and cannot be reissued For safety management reasons, the use of any form of unmanned aircrafts including drones is not permitted within the Tokyo Skytree Town site People with heart conditions are not recommended to join this activity. For guests with other health conditions that can be affected during the visit, please consult with your doctors first before going to the attraction Vouchers are valid for the day and specific time only This activity is stroller and wheelchair-accessible
Please note that when you enter the building you must pass through a baggage check and metal detector Pets are not allowed inside the attraction Bringing of dangerous articles, wireless technologies, and other related items are prohibited inside the facility All tickets are non-refundable and cannot be reissued For safety management reasons, the use of any form of unmanned aircrafts including drones is not permitted within the Tokyo Skytree Town site People with heart conditions are not recommended to join this activity. For guests with other health conditions that can be affected during the visit, please consult with your doctors first before going to the attraction Vouchers are valid for the day and specific time only This activity is stroller and wheelchair-accessible
Please note that when you enter the building you must pass through a baggage check and metal detector
Pets are not allowed inside the attraction
Bringing of dangerous articles, wireless technologies, and other related items are prohibited inside the facility
All tickets are non-refundable and cannot be reissued
For safety management reasons, the use of any form of unmanned aircrafts including drones is not permitted within the Tokyo Skytree Town site
People with heart conditions are not recommended to join this activity. For guests with other health conditions that can be affected during the visit, please consult with your doctors first before going to the attraction
Vouchers are valid for the day and specific time only
This activity is stroller and wheelchair-accessible",,D-7,Tokyo,ACTIVITY_WITH_ONLY_TICKET,Japan,,"At 634 meters high, TOKYO SKYTREE is Japan's tallest structure, with the best panoramic views of Tokyo. Visit its iconic observation decks, from the Tembo Deck at 350m to the Tembo Galleria at 450m, where you can even walk on glass floors and walls. On clear days, you can even see the majestic Mt. Fuji. Book your tickets now and visit TOKYO SKYTREE today!",,,"Audio guide
Tour guide
Other personal expenses",,"[{img_url=TRA_57773, img_alt=Tokyo Skytree Ticket(Tembo Deck & Galleria)}]","1 Tokyo Skytree® 350 m and 450 m admission ticket(s)
Morning Slot ",,,Tickets & Attraction Passes,none,"Family, Friend, Couple, Solo","CULTURE, MOUNTAIN",
