ID,from_city,From,to_city,To,Transfer Type,Within/InterCity,Transfer Description,title,seller_title,additional_details,cache_price,cancellation,city,country,description,inclusions,exclusions,images,transfer
RAIL_56208,,Kyoto,,Osaka,Train,Intercity,Train from Kyoto to Osaka(Reserved Category),Train from Kyoto to Osaka(Reserved Category),Train from Kyoto to Osaka(Reserved Category),,,Non-Refundable,Kyoto,Japan,Train from Kyoto to Osaka,Train from Kyoto to Osaka,Anything which is not mentioned in inclusion,"[{img_url=RAIL_56208, img_alt=Train from Kyoto to Osaka}]",none
RAIL_56209,,Osaka ,,Kyoto,Train,Intercity,Train from Kyoto to Osaka(Reserved Category),Train from Kyoto to Osaka(Reserved Category),Train from Kyoto to Osaka(Reserved Category),,,Non-Refundable,Osaka,Japan,Train from Osaka to Kyoto,Train from Osaka to Kyoto,Anything which is not mentioned in inclusion,"[{img_url=RAIL_56209, img_alt=Train from Osaka to Kyoto}]",none
RAIL_56210,,Osaka ,,Tokyo,Train,Intercity,Train from Osaka to Tokyo(Reserved Category),Train from Osaka to Tokyo(Reserved Category),Train from Osaka to Tokyo(Reserved Category)," Children and adults in the Green seat are the same price, if children aged 6-11 years old need the Green seat, please purchase an adult ticket.
Adults: 12 years old and above
Children: 6-11 years old",,Non-Refundable,Osaka,Japan,Train from Osaka to Tokyo,"One-way transfer ticket
One-way Ticket: Shin-Osaka to Tokyo",Other personal expenses,"[{img_url=RAIL_56210, img_alt=Train from Osaka to Tokyo}]",none
RAIL_56327,,Tokyo,,Kyoto,Train,Intercity,Train from Tokyo to Kyoto(Reserved Category),Train from Tokyo to Kyoto(Reserved Category),Train from Tokyo to Kyoto(Reserved Category),,,Non-Refundable,Tokyo,Japan,Train from Tokyo to Kyoto,One-way transfer ticket from Tokyo to Kyoto,Other personal expenses,"[{img_url=RAIL_56327, img_alt=Train from Tokyo to Kyoto}]",none
RAIL_56328,,Kyoto,,Tokyo,Train,Intercity,Train from Kyoto to Tokyo(Reserved Category),Train from Kyoto to Tokyo(Reserved Category),Train from Kyoto to Tokyo(Reserved Category),,,Non-Refundable,Kyoto,Japan,Train from Kyoto to Tokyo,One-way transfer ticket from Kyoto to Tokyo,Anything which is not mentioned in inclusion,"[{img_url=RAIL_56328, img_alt=Train from Kyoto to Tokyo}]",none
RAIL_56329,,Tokyo ,,Osaka,Train,Intercity,Train from Tokyo to Osaka(Reserved Category),Train from Tokyo to Osaka(Reserved Category),Train from Tokyo to Osaka(Reserved Category),"Children and adults in the Green seat are the same price, if children aged 6-11 years old need the Green seat, please purchase an adult ticket.
Adults: 12 years old and above
Children: 6-11 years old",,Non-Refundable,Tokyo,Japan,Train from Tokyo to Osaka,"One-way transfer ticket
One-way Ticket: Tokyo to Shin-Osaka",Other personal expenses,"[{img_url=RAIL_56329, img_alt=Train from Tokyo to Osaka}]",none
TRA_57803,,"Shinjuku, Ueno, Asakusa & Ginza",Tokyo,Tokyo Disneyland,Group Shuttle,Within City,shared with other travellers,"One Way Shared Transfer from Shinjuku, Ueno, Asakusa & Ginza to Tokyo Disneyland","One Way Shared Transfer from Shinjuku, Ueno, Asakusa & Ginza to Tokyo Disneyland",,,D-5,Tokyo,Japan,"Enjoy a convenient shared transfer between Tokyo city and Tokyo Disneyland or DisneySea. Choose from multiple pickup locations including Shinjuku, Ueno, Asakusa, and Ginza (Tokyo Station), and travel stress-free in a comfortable van or minibus. Perfect for families and groups heading to the parks!",One-way transfer,Admission to attractions,"[{img_url=TRA_57803, img_alt=One Way Shared Transfer from Shinjuku, Ueno, Asakusa & Ginza to Tokyo Disneyland}]",shared
TRA_57804,,Tokyo Disneyland,Tokyo,"Shinjuku, Ueno, Asakusa & Ginza",Group Shuttle,Within City,shared with other travellers,"One Way Shared Transfer from  Tokyo Disneyland to Shinjuku, Ueno, Asakusa & Ginza","One Way Shared Transfer from  Tokyo Disneyland to Shinjuku, Ueno, Asakusa & Ginza",,,D-5,Tokyo,Japan,"Enjoy a convenient shared transfer between Tokyo city and Tokyo Disneyland or DisneySea. Choose from multiple pickup locations including Shinjuku, Ueno, Asakusa, and Ginza (Tokyo Station), and travel stress-free in a comfortable van or minibus. Perfect for families and groups heading to the parks!",One-way transfer,Admission to attractions,"[{img_url=TRA_57804, img_alt=One Way Shared Transfer from  Tokyo Disneyland to Shinjuku, Ueno, Asakusa & Ginza}]",shared
ATRA_57818,,Tokyo City Centre Hotel ,Tokyo,Haneda Airport,Private,Within City,Exlcusive for your group,One way transfer from Tokyo City Centre Hotel to Haneda Airport,One way transfer from Tokyo City Centre Hotel to Haneda Airport,,,D-5,Tokyo,Japan,One way transfer from Tokyo City Centre Hotel to Haneda Airport,One way transfer from Tokyo City Centre Hotel to Haneda AirportLuggage Allowance:1 cabin + 1 medium suitcase (check in) per pax,Anything which is not mentioned in inclusion,"[{img_url=ATRA_57818, img_alt=One way transfer from Tokyo City Centre Hotel to Haneda Airport}]",none
ATRA_57819,,Narita Airport,Tokyo,Tokyo City Centre / Shinjuku Hotel,Private,Within City,Exlcusive for your group,One way transfer from Narita Airport to Tokyo City Centre/Shinjuku Hotel,One way transfer from Narita Airport to Tokyo City Centre/Shinjuku Hotel,,,D-5,Tokyo,Japan,One way transfer from Narita Airport to Tokyo City Centre/Shinjuku Hotel,One way transfer from Narita Airport to Tokyo City Centre/Shinjuku HotelLuggage Allowance:1 cabin + 1 medium suitcase (check in) per pax,Anything which is not mentioned in inclusion,"[{img_url=ATRA_57819, img_alt=One way transfer from Narita Airport to Tokyo City Centre/Shinjuku Hotel}]",none
