activity_code_old,activity_code_new,match_type,package_itinerary_id,package_itinerary_slug,package_itinerary_title,day_index,itinerary_index,status,reason,old_module_id_found,new_title,new_activity_id,mode
E-E10-A9VWNO0190,TRA_57774,New Activity,68dff17dec31f620f2d1d9f0,japan-explorer,Japan Explorer,2,1,replaced_old_code,,E-E10-A9VWNO0190,Hakone Sightseeing Cruise(Hakonemachi to Togendai),6a070ac80514b9b2e255954a,live
E-E10-A9VWNO0189,TRA_57809,Exact Match,68dff17dec31f620f2d1d9f0,japan-explorer,Japan Explorer,4,1,replaced_old_code,,E-E10-A9VWNO0189,Nikko Toshogu Shrine & Kegon Waterfall One Day Tour from Tokyo(Depart from Shinjuku),6a070ad40514b9b2e25595cf,live
E-E10-25NASC0015,RAIL_56329,Exact Match,68dff17dec31f620f2d1d9f0,japan-explorer,Japan Explorer,5,2,skipped,new activity RAIL_56329 not found in activity collection,E-E10-25NASC0015,,,live
E-E10-A1NSNO0898,546327,Exact Match,68dff17dec31f620f2d1d9f0,japan-explorer,Japan Explorer,6,1,replaced_old_code,,E-E10-A1NSNO0898,"Osaka Private 10-Hour Chartered Car with English Driver – to Osaka City, 10-Seat",6a1691968e9873e297863e28,live
E-E10-A1MANO0354,TRA_57766,Exact Match,68dff17dec31f620f2d1d9f0,japan-explorer,Japan Explorer,7,1,replaced_old_code,,E-E10-A1MANO0354,Universal Studios Japan 1-day Studio Pass,6a070ac60514b9b2e2559521,live
E-E10-25NASC0011,R1,Exact Match,68dff17dec31f620f2d1d9ef,japan-tech-trek,Japan Tech Trek,3,2,skipped,new activity R1 not found in activity collection,E-E10-25NASC0011,,,live
E-E10-A1MANO0353,TRA_57764,Similar,68dff17dec31f620f2d1d9ef,japan-tech-trek,Japan Tech Trek,5,1,replaced_old_code,,E-E10-A1MANO0353,Tokyo Disneyland 1-Day Ticket,6a070ac50514b9b2e2559515,live
E-E10-25NASC0015,RAIL_56329,Exact Match,68dff17dec31f620f2d1d9ef,japan-tech-trek,Japan Tech Trek,6,2,skipped,new activity RAIL_56329 not found in activity collection,E-E10-25NASC0015,,,live
E-E10-A1NSNO0898,546327,Exact Match,68dff17dec31f620f2d1d9ef,japan-tech-trek,Japan Tech Trek,7,1,replaced_old_code,,E-E10-A1NSNO0898,"Osaka Private 10-Hour Chartered Car with English Driver – to Osaka City, 10-Seat",6a1691968e9873e297863e28,live
E-E10-A1NSNO0826,TRA_57773,New Activity,68dff17dec31f620f2d1d9ee,japan-retail-therapy,Japan Retail Therapy,1,3,replaced_old_code,,E-E10-A1NSNO0826,Tokyo Skytree Ticket(Tembo Deck & Galleria),6a070ac80514b9b2e2559545,live
E-E10-25JERC0014,TRA_57786,New Activity,68dff17dec31f620f2d1d9ee,japan-retail-therapy,Japan Retail Therapy,2,1,replaced_old_code,,E-E10-25JERC0014,"Tokyo City, Private Customized Day Trip with English-speaking Driver",6a070acf0514b9b2e2559587,live
E-E10-25NASC0012,RAIL_56327,Exact Match,68dff17dec31f620f2d1d9ee,japan-retail-therapy,Japan Retail Therapy,3,2,skipped,new activity RAIL_56327 not found in activity collection,E-E10-25NASC0012,,,live
E-E10-JP-KIXJ9,TRA_57829,Similar,68dff17dec31f620f2d1d9ee,japan-retail-therapy,Japan Retail Therapy,3,3,replaced_old_code,,E-E10-JP-KIXJ9,Depart from Kyoto: 1-day Tour Around Kyoto City (Customizable Itinerary),6a070ad50514b9b2e25595f5,live
E-E10-JP-KIXJ11,489377,Similar,68dff17dec31f620f2d1d9ee,japan-retail-therapy,Japan Retail Therapy,4,1,replaced_old_code,,E-E10-JP-KIXJ11,Nara Charter Car Customizable 1-Day Trip (from Kyoto),6a1691928e9873e297863e00,live
E-E10-A1NSNO0788,320011,New Activity,68dff17dec31f620f2d1d9ee,japan-retail-therapy,Japan Retail Therapy,4,2,replaced_old_code,,E-E10-A1NSNO0788,Kyoto Private One Day Tour with Hotel Pick-up from Osaka/Kyoto/Kobe,6a1691da37329733e77b1bc4,live
E-E10-A1MLNO1758,496607,Exact Match,68dff17dec31f620f2d1d9ee,japan-retail-therapy,Japan Retail Therapy,5,3,replaced_old_code,,E-E10-A1MLNO1758,Osaka Castle 3 hours Historical Walking Tour (Private),6a1691a38e9873e297863ec3,live
E-E10-25JERC0010,511045,Exact Match,68dff17dec31f620f2d1d9ee,japan-retail-therapy,Japan Retail Therapy,6,1,replaced_old_code,,E-E10-25JERC0010,Osaka: Guided Food Tour with 12 Dishes at 4 Local Eateries,6a16919f8e9873e297863e98,live
E-E10-25NASC0015,RAIL_56329,Exact Match,68dff17dec31f620f2d1d9f1,japan-thrills,Japan Thrills,5,2,skipped,new activity RAIL_56329 not found in activity collection,E-E10-25NASC0015,,,live
E-E10-A1MLNO1851,T5,Exact Match,68dff17dec31f620f2d1d9f1,japan-thrills,Japan Thrills,6,1,skipped,new activity T5 not found in activity collection,E-E10-A1MLNO1851,,,live
E-E10-A1NSNO0898,546327,Exact Match,68dff17dec31f620f2d1d9f1,japan-thrills,Japan Thrills,7,1,replaced_old_code,,E-E10-A1NSNO0898,"Osaka Private 10-Hour Chartered Car with English Driver – to Osaka City, 10-Seat",6a1691968e9873e297863e28,live
E-E10-JP-NRTJ18,TRA_57779,Exact Match,68dff17dec31f620f2d1d9eb,japans-scenic-trio,Japan's Scenic Trio,2,1,replaced_old_code,,E-E10-JP-NRTJ18,Tokyo Mt. Fuji & Hakone Full-Day Guided Tour(Return by Motorcoach),6a070acd0514b9b2e2559563,live
E-E10-25NASC0034,496607,Similar,68dff17dec31f620f2d1d9eb,japans-scenic-trio,Japan's Scenic Trio,5,3,replaced_old_code,,E-E10-25NASC0034,Osaka Castle 3 hours Historical Walking Tour (Private),6a1691a38e9873e297863ec3,live
E-E10-A1NSNO0896,TRA_57808,New Activity,68dff17dec31f620f2d1d9eb,japans-scenic-trio,Japan's Scenic Trio,6,1,replaced_old_code,,E-E10-A1NSNO0896,Osaka Dotonbori Naniwa Sightseeing Boat,6a070ad30514b9b2e25595ca,live
E-E10-JP-NRTJ18,TRA_57779,Exact Match,68dff17dec31f620f2d1d9ea,japans-modern-wonders,Japan's Modern Wonders,2,1,replaced_old_code,,E-E10-JP-NRTJ18,Tokyo Mt. Fuji & Hakone Full-Day Guided Tour(Return by Motorcoach),6a070acd0514b9b2e2559563,live
E-E10-25NASC0031,TRA_57793,Similar,68dff17dec31f620f2d1d9ea,japans-modern-wonders,Japan's Modern Wonders,3,1,replaced_old_code,,E-E10-25NASC0031,Hop-On Hop-Off Tokyo Bus by Skyhop Bus,6a070ad00514b9b2e2559597,live
E-E10-A1NSNO0788,320011,New Activity,68dff17dec31f620f2d1d9ea,japans-modern-wonders,Japan's Modern Wonders,4,3,replaced_old_code,,E-E10-A1NSNO0788,Kyoto Private One Day Tour with Hotel Pick-up from Osaka/Kyoto/Kobe,6a1691da37329733e77b1bc4,live
E-E10-A1MANO0354,TRA_57766,Exact Match,68dff17dec31f620f2d1d9ea,japans-modern-wonders,Japan's Modern Wonders,7,1,replaced_old_code,,E-E10-A1MANO0354,Universal Studios Japan 1-day Studio Pass,6a070ac60514b9b2e2559521,live
E-E10-A1MLNO1851,T5,Exact Match,68dff17dec31f620f2d1d9ea,japans-modern-wonders,Japan's Modern Wonders,7,2,skipped,new activity T5 not found in activity collection,E-E10-A1MLNO1851,,,live
E-E10-A1NSNO0865,A1,Similar,68dff17dec31f620f2d1d9ec,japan-park-adventure,Japan Park Adventure,1,3,replaced_old_code,,E-E10-A1NSNO0865,TeamLab Planets TOKYO Ticket,6a16918e8e9873e297863dc1,live
E-E10-A1MANO0353,TRA_57764,Similar,68dff17dec31f620f2d1d9ec,japan-park-adventure,Japan Park Adventure,2,1,replaced_old_code,,E-E10-A1MANO0353,Tokyo Disneyland 1-Day Ticket,6a070ac50514b9b2e2559515,live
E-E10-A1MANO0356,TRA_57765,Similar,68dff17dec31f620f2d1d9ec,japan-park-adventure,Japan Park Adventure,3,1,replaced_old_code,,E-E10-A1MANO0356,Tokyo DisneySea 1-Day Ticket,6a070ac60514b9b2e255951b,live
E-E10-25NASC0015,RAIL_56329,Exact Match,68dff17dec31f620f2d1d9ec,japan-park-adventure,Japan Park Adventure,4,2,skipped,new activity RAIL_56329 not found in activity collection,E-E10-25NASC0015,,,live
E-E10-25NASC0034,496607,Similar,68dff17dec31f620f2d1d9ec,japan-park-adventure,Japan Park Adventure,4,3,replaced_old_code,,E-E10-25NASC0034,Osaka Castle 3 hours Historical Walking Tour (Private),6a1691a38e9873e297863ec3,live
E-E10-A1MLNO1851,T5,Exact Match,68dff17dec31f620f2d1d9ec,japan-park-adventure,Japan Park Adventure,5,1,skipped,new activity T5 not found in activity collection,E-E10-A1MLNO1851,,,live
E-E10-25JERC0017,TRA_57801,New Activity,68dff17dec31f620f2d1d9ed,ancient-japan-journey,Ancient Japan Journey,2,1,replaced_old_code,,E-E10-25JERC0017,Tokyo Private Customizable Full-Day Tour,6a070ad20514b9b2e25595b3,live
E-E10-JP-NRTJ18,TRA_57779,Exact Match,68dff17dec31f620f2d1d9ed,ancient-japan-journey,Ancient Japan Journey,3,1,replaced_old_code,,E-E10-JP-NRTJ18,Tokyo Mt. Fuji & Hakone Full-Day Guided Tour(Return by Motorcoach),6a070acd0514b9b2e2559563,live
E-E10-25NASC0012,RAIL_56327,Exact Match,68dff17dec31f620f2d1d9ed,ancient-japan-journey,Ancient Japan Journey,4,2,skipped,new activity RAIL_56327 not found in activity collection,E-E10-25NASC0012,,,live
E-E10-JP-KIXJ10,TRA_57783,New Activity,68dff17dec31f620f2d1d9ed,ancient-japan-journey,Ancient Japan Journey,4,3,replaced_old_code,,E-E10-JP-KIXJ10,Kyoto Amanohashidate & Miyama Village: Includes boat cruise + cable car + crab lunch (pickup/drop-off in Osaka or Kyoto),6a070ace0514b9b2e2559578,live
E-E10-A1MLNO1763,TRA_57809,New Activity,68dff17dec31f620f2d1d9ed,ancient-japan-journey,Ancient Japan Journey,5,1,replaced_old_code,,E-E10-A1MLNO1763,Nikko Toshogu Shrine & Kegon Waterfall One Day Tour from Tokyo(Depart from Shinjuku),6a070ad40514b9b2e25595cf,live
E-E10-25NASC0034,496607,Similar,68dff17dec31f620f2d1d9ed,ancient-japan-journey,Ancient Japan Journey,6,3,replaced_old_code,,E-E10-25NASC0034,Osaka Castle 3 hours Historical Walking Tour (Private),6a1691a38e9873e297863ec3,live
E-E10-JP-KIXJ11,489377,Similar,68e660e06d75b94945ca5ddb,essence-of-japan,Essence Of Japan,3,1,replaced_old_code,,E-E10-JP-KIXJ11,Nara Charter Car Customizable 1-Day Trip (from Kyoto),6a1691928e9873e297863e00,live
E-E10-A1NSNO0788,320011,New Activity,68e660e06d75b94945ca5ddb,essence-of-japan,Essence Of Japan,3,2,replaced_old_code,,E-E10-A1NSNO0788,Kyoto Private One Day Tour with Hotel Pick-up from Osaka/Kyoto/Kobe,6a1691da37329733e77b1bc4,live
E-E10-A1NSNO0810,546327,Similar,68e660e06d75b94945ca5ddb,essence-of-japan,Essence Of Japan,4,1,replaced_old_code,,E-E10-A1NSNO0810,"Osaka Private 10-Hour Chartered Car with English Driver – to Osaka City, 10-Seat",6a1691968e9873e297863e28,live
E-E10-JP-NRTJ18,TRA_57779,Exact Match,68e660e06d75b94945ca5ddb,essence-of-japan,Essence Of Japan,7,1,replaced_old_code,,E-E10-JP-NRTJ18,Tokyo Mt. Fuji & Hakone Full-Day Guided Tour(Return by Motorcoach),6a070acd0514b9b2e2559563,live
E-E10-25SYLI0016,TRA_57809,Similar,68e660e06d75b94945ca5ddb,essence-of-japan,Essence Of Japan,8,1,replaced_old_code,,E-E10-25SYLI0016,Nikko Toshogu Shrine & Kegon Waterfall One Day Tour from Tokyo(Depart from Shinjuku),6a070ad40514b9b2e25595cf,live
E-E10-JP-NRTJ18,TRA_57779,Exact Match,68e660e06d75b94945ca5de4,japan-family-quest,Japan Family Quest,3,1,replaced_old_code,,E-E10-JP-NRTJ18,Tokyo Mt. Fuji & Hakone Full-Day Guided Tour(Return by Motorcoach),6a070acd0514b9b2e2559563,live
E-E10-A1NSNO0788,320011,New Activity,68e660e06d75b94945ca5de4,japan-family-quest,Japan Family Quest,5,3,replaced_old_code,,E-E10-A1NSNO0788,Kyoto Private One Day Tour with Hotel Pick-up from Osaka/Kyoto/Kobe,6a1691da37329733e77b1bc4,live
E-E10-JP-KIXJ3,TRA_57829,Similar,68e660e06d75b94945ca5de4,japan-family-quest,Japan Family Quest,6,1,replaced_old_code,,E-E10-JP-KIXJ3,Depart from Kyoto: 1-day Tour Around Kyoto City (Customizable Itinerary),6a070ad50514b9b2e25595f5,live
E-E10-JP-KIXJ11,489377,Similar,68e660e06d75b94945ca5de4,japan-family-quest,Japan Family Quest,7,1,replaced_old_code,,E-E10-JP-KIXJ11,Nara Charter Car Customizable 1-Day Trip (from Kyoto),6a1691928e9873e297863e00,live
E-E10-A1NSNO0810,546327,Similar,68e660e06d75b94945ca5de4,japan-family-quest,Japan Family Quest,10,1,replaced_old_code,,E-E10-A1NSNO0810,"Osaka Private 10-Hour Chartered Car with English Driver – to Osaka City, 10-Seat",6a1691968e9873e297863e28,live
E-E10-JP-KIXJ11,489377,Similar,68e660e06d75b94945ca5de5,japan-with-the-crew,Japan With The Crew,3,1,replaced_old_code,,E-E10-JP-KIXJ11,Nara Charter Car Customizable 1-Day Trip (from Kyoto),6a1691928e9873e297863e00,live
E-E10-JP-NRTJ18,TRA_57779,Exact Match,68e660e06d75b94945ca5dce,a-japenese-love-story,A Japenese Love Story,3,1,replaced_old_code,,E-E10-JP-NRTJ18,Tokyo Mt. Fuji & Hakone Full-Day Guided Tour(Return by Motorcoach),6a070acd0514b9b2e2559563,live
E-E10-A1NSNO0788,320011,New Activity,68e660e06d75b94945ca5dce,a-japenese-love-story,A Japenese Love Story,5,3,replaced_old_code,,E-E10-A1NSNO0788,Kyoto Private One Day Tour with Hotel Pick-up from Osaka/Kyoto/Kobe,6a1691da37329733e77b1bc4,live
E-E10-JP-KIXJ3,TRA_57829,Similar,68e660e06d75b94945ca5dce,a-japenese-love-story,A Japenese Love Story,6,1,replaced_old_code,,E-E10-JP-KIXJ3,Depart from Kyoto: 1-day Tour Around Kyoto City (Customizable Itinerary),6a070ad50514b9b2e25595f5,live
E-E10-JP-KIXJ11,489377,Similar,68e660e06d75b94945ca5dce,a-japenese-love-story,A Japenese Love Story,7,1,replaced_old_code,,E-E10-JP-KIXJ11,Nara Charter Car Customizable 1-Day Trip (from Kyoto),6a1691928e9873e297863e00,live
E-E10-A1NSNO0810,546327,Similar,68e660e06d75b94945ca5df6,the-japan-journey,The Japan Journey,2,1,replaced_old_code,,E-E10-A1NSNO0810,"Osaka Private 10-Hour Chartered Car with English Driver – to Osaka City, 10-Seat",6a1691968e9873e297863e28,live
E-E10-JP-KIXJ11,489377,Similar,68e660e06d75b94945ca5df6,the-japan-journey,The Japan Journey,5,1,replaced_old_code,,E-E10-JP-KIXJ11,Nara Charter Car Customizable 1-Day Trip (from Kyoto),6a1691928e9873e297863e00,live
E-E10-25NASI0071,320011,Similar,68e660e06d75b94945ca5df6,the-japan-journey,The Japan Journey,5,2,replaced_old_code,,E-E10-25NASI0071,Kyoto Private One Day Tour with Hotel Pick-up from Osaka/Kyoto/Kobe,6a1691da37329733e77b1bc4,live
E-E10-JP-NRTJ18,TRA_57779,Exact Match,68e660e06d75b94945ca5df6,the-japan-journey,The Japan Journey,8,1,replaced_old_code,,E-E10-JP-NRTJ18,Tokyo Mt. Fuji & Hakone Full-Day Guided Tour(Return by Motorcoach),6a070acd0514b9b2e2559563,live
E-E10-A1NSNO0865,A1,Similar,68e660e06d75b94945ca5dfb,tokyo-kyoto-discovery,Tokyo & Kyoto Discovery,3,1,replaced_old_code,,E-E10-A1NSNO0865,TeamLab Planets TOKYO Ticket,6a16918e8e9873e297863dc1,live
