package_name,status,reason,mode
Thrills of Bali for Two,error,Transfer not found: TRA_52107,dry_run
Bali Funventure,error,Transfer not found: TRA_52106,dry_run
Island Highs,success,,dry_run
Bali Adventure Highs,error,Transfer not found: TRA_52105,dry_run
Beach Bliss for Two,error,Transfer not found: TRA_52103,dry_run
Bali Beach Family Fun,error,Transfer not found: TRA_55611,dry_run
"Sun, Surf & the Crew",success,,dry_run
Bali Island Escape,success,,dry_run
Jewels of Nusa Penida,error,Transfer not found: TRA_55329,dry_run
Seminyak Escape,error,Transfer not found: TRA_52108,dry_run
Kuta Family Fun,error,Transfer not found: TRA_52106,dry_run
Urban Bali with the Crew,success,,dry_run
Bali City Explorer,error,Transfer not found: TRA_52106,dry_run
Heart of Bali,error,Transfer not found: TRA_52108,dry_run
Bali Heritage Quest,error,Transfer not found: TRA_52105,dry_run
Tribe Culture Trek,error,Transfer not found: TRA_52106,dry_run
Bali Cultural Discovery,error,Transfer not found: TRA_52105,dry_run
Grandeur of Bali,error,Transfer not found: TRA_52107,dry_run
Bali Premium Family Retreat,error,Transfer not found: TRA_54225,dry_run
The Curated Bali Experience,error,Transfer not found: TRA_52107,dry_run
Bespoke Bali Retreat,error,Transfer not found: TRA_52108,dry_run
Highland Love Escape,error,Transfer not found: TRA_52108,dry_run
Bali Highland Family Adventure,error,Transfer not found: TRA_52105,dry_run
Summit Seekers,error,Transfer not found: TRA_52106,dry_run
Volcanic Trails,error,Transfer not found: TRA_52108,dry_run
Dazzling Bali Nights,success,,dry_run
Bali Night Lights,error,Transfer not found: TRA_54225,dry_run
Island Beats,success,,dry_run
Bali After Dark,success,,dry_run
A Balinese Love Story,error,Transfer not found: TRA_52107,dry_run
Paradise for Two,error,Transfer not found: TRA_55611,dry_run
Bali Love Escape,error,Transfer not found: TRA_52108,dry_run
Tropical Love Escape,error,Transfer not found: TRA_52107,dry_run
Seminyak Style Escape,error,Transfer not found: TRA_52103,dry_run
Bali Family Spree,error,Transfer not found: TRA_52106,dry_run
Retail Therapy in Bali,error,Transfer not found: TRA_52108,dry_run
Bali Shopper's Dream,success,,dry_run
Bliss in Bali,error,Transfer not found: TRA_52108,dry_run
Bali Family Unwind,error,Transfer not found: TRA_55614,dry_run
Chill & Thrill in Bali,success,,dry_run
Bali Serenity,success,,dry_run
Ancient Temples for Two,error,Transfer not found: TRA_52105,dry_run
Balinese Heritage Journey,error,Transfer not found: TRA_52107,dry_run
Explorers of Ancient Bali,error,Transfer not found: TRA_52106,dry_run
Bali Heritage Discovery,error,Transfer not found: TRA_52105,dry_run
Flavours of Bali,error,Transfer not found: TRA_52108,dry_run
Bali Culinary Family Adventure,error,Transfer not found: TRA_52106,dry_run
Foodie Tribe,success,,dry_run
Bali Culinary Journey,error,Transfer not found: TRA_52105,dry_run
Tropical Nature Escape,error,Transfer not found: TRA_52108,dry_run
Bali Nature Quest,error,Transfer not found: TRA_52105,dry_run
Into the Wild with the Crew,error,Transfer not found: TRA_52105,dry_run
Into the Wild,error,Transfer not found: TRA_52108,dry_run
Wildlife Wonders of Bali,error,Transfer not found: TRA_52108,dry_run
Bali Wild Kingdom,error,Transfer not found: TRA_52106,dry_run
Tribe Safari,error,Transfer not found: TRA_52105,dry_run
Bali Wildlife Explorer,success,,dry_run
Sacred Bali,error,Transfer not found: TRA_52108,dry_run
Temples of Bali,error,Transfer not found: TRA_52107,dry_run
Spiritual Seekers,error,Transfer not found: TRA_52106,dry_run
Inner Peace in Bali,error,Transfer not found: TRA_52108,dry_run
Cool Highlands of Bali,error,Transfer not found: TRA_52108,dry_run
Bali Highland Discovery,error,Transfer not found: TRA_52106,dry_run
Highland Trek with the Crew,error,Transfer not found: TRA_52105,dry_run
Bali Highland Escape,success,,dry_run
Bali Drive & Romance,error,Transfer not found: TRA_52107,dry_run
Bali Self-Drive Family Explorer,error,Transfer not found: TRA_52106,dry_run
Road Cruise with the Crew,error,Transfer not found: TRA_52107,dry_run
Bali Wanderer,success,,dry_run
Volcanic Escape for Two,error,Transfer not found: TRA_52108,dry_run
Volcanic Bali Family Discovery,error,Transfer not found: TRA_52105,dry_run
Rugged Bali with the Crew,error,Transfer not found: TRA_52105,dry_run
Volcanic Bali Explorer,success,,dry_run
Bali Road Romance,error,Transfer not found: TRA_52107,dry_run
Epic Bali Family Road Trip,error,Transfer not found: TRA_52106,dry_run
Cross-Island Adventure,error,Transfer not found: TRA_52107,dry_run
Bali Road Diaries,success,,dry_run
Best of Bali for Two,error,Transfer not found: TRA_52107,dry_run
Best of Bali with Family,error,Transfer not found: TRA_54225,dry_run
Best of Bali with the Crew,error,Transfer not found: TRA_52103,dry_run
Best of Bali,error,Transfer not found: TRA_52106,dry_run
Essence of Bali,error,Transfer not found: TRA_52108,dry_run
