package_name,status,reason,package_id,mode
Thrills of Bali for Two,error,Transfer not found: TRA_52107,,live
Bali Funventure,error,Transfer not found: TRA_52106,,live
Island Highs,error,'_id',,live
Bali Adventure Highs,error,Transfer not found: TRA_52105,,live
Beach Bliss for Two,error,Transfer not found: TRA_52103,,live
Bali Beach Family Fun,error,Transfer not found: TRA_55611,,live
"Sun, Surf & the Crew",error,'_id',,live
Bali Island Escape,error,'_id',,live
Jewels of Nusa Penida,error,Transfer not found: TRA_55329,,live
Seminyak Escape,error,Transfer not found: TRA_52108,,live
Kuta Family Fun,error,Transfer not found: TRA_52106,,live
Urban Bali with the Crew,error,'_id',,live
Bali City Explorer,error,Transfer not found: TRA_52106,,live
Heart of Bali,error,Transfer not found: TRA_52108,,live
Bali Heritage Quest,error,Transfer not found: TRA_52105,,live
Tribe Culture Trek,error,Transfer not found: TRA_52106,,live
Bali Cultural Discovery,error,Transfer not found: TRA_52105,,live
Grandeur of Bali,error,Transfer not found: TRA_52107,,live
Bali Premium Family Retreat,error,Transfer not found: TRA_54225,,live
The Curated Bali Experience,error,Transfer not found: TRA_52107,,live
Bespoke Bali Retreat,error,Transfer not found: TRA_52108,,live
Highland Love Escape,error,Transfer not found: TRA_52108,,live
Bali Highland Family Adventure,error,Transfer not found: TRA_52105,,live
Summit Seekers,error,Transfer not found: TRA_52106,,live
Volcanic Trails,error,Transfer not found: TRA_52108,,live
Dazzling Bali Nights,error,'_id',,live
Bali Night Lights,error,Transfer not found: TRA_54225,,live
Island Beats,error,'_id',,live
Bali After Dark,error,'_id',,live
A Balinese Love Story,error,Transfer not found: TRA_52107,,live
Paradise for Two,error,Transfer not found: TRA_55611,,live
Bali Love Escape,error,Transfer not found: TRA_52108,,live
Tropical Love Escape,error,Transfer not found: TRA_52107,,live
Seminyak Style Escape,error,Transfer not found: TRA_52103,,live
Bali Family Spree,error,Transfer not found: TRA_52106,,live
Retail Therapy in Bali,error,Transfer not found: TRA_52108,,live
Bali Shopper's Dream,error,'_id',,live
Bliss in Bali,error,Transfer not found: TRA_52108,,live
Bali Family Unwind,error,Transfer not found: TRA_55614,,live
Chill & Thrill in Bali,error,'_id',,live
Bali Serenity,error,'_id',,live
Ancient Temples for Two,error,Transfer not found: TRA_52105,,live
Balinese Heritage Journey,error,Transfer not found: TRA_52107,,live
Explorers of Ancient Bali,error,Transfer not found: TRA_52106,,live
Bali Heritage Discovery,error,Transfer not found: TRA_52105,,live
Flavours of Bali,error,Transfer not found: TRA_52108,,live
Bali Culinary Family Adventure,error,Transfer not found: TRA_52106,,live
Foodie Tribe,error,'_id',,live
Bali Culinary Journey,error,Transfer not found: TRA_52105,,live
Tropical Nature Escape,error,Transfer not found: TRA_52108,,live
Bali Nature Quest,error,Transfer not found: TRA_52105,,live
Into the Wild with the Crew,error,Transfer not found: TRA_52105,,live
Into the Wild,error,Transfer not found: TRA_52108,,live
Wildlife Wonders of Bali,error,Transfer not found: TRA_52108,,live
Bali Wild Kingdom,error,Transfer not found: TRA_52106,,live
Tribe Safari,error,Transfer not found: TRA_52105,,live
Bali Wildlife Explorer,error,'_id',,live
Sacred Bali,error,Transfer not found: TRA_52108,,live
Temples of Bali,error,Transfer not found: TRA_52107,,live
Spiritual Seekers,error,Transfer not found: TRA_52106,,live
Inner Peace in Bali,error,Transfer not found: TRA_52108,,live
Cool Highlands of Bali,error,Transfer not found: TRA_52108,,live
Bali Highland Discovery,error,Transfer not found: TRA_52106,,live
Highland Trek with the Crew,error,Transfer not found: TRA_52105,,live
Bali Highland Escape,error,'_id',,live
Bali Drive & Romance,error,Transfer not found: TRA_52107,,live
Bali Self-Drive Family Explorer,error,Transfer not found: TRA_52106,,live
Road Cruise with the Crew,error,Transfer not found: TRA_52107,,live
Bali Wanderer,error,'_id',,live
Volcanic Escape for Two,error,Transfer not found: TRA_52108,,live
Volcanic Bali Family Discovery,error,Transfer not found: TRA_52105,,live
Rugged Bali with the Crew,error,Transfer not found: TRA_52105,,live
Volcanic Bali Explorer,error,'_id',,live
Bali Road Romance,error,Transfer not found: TRA_52107,,live
Epic Bali Family Road Trip,error,Transfer not found: TRA_52106,,live
Cross-Island Adventure,error,Transfer not found: TRA_52107,,live
Bali Road Diaries,error,'_id',,live
Best of Bali for Two,error,Transfer not found: TRA_52107,,live
Best of Bali with Family,error,Transfer not found: TRA_54225,,live
Best of Bali with the Crew,error,Transfer not found: TRA_52103,,live
Best of Bali,error,Transfer not found: TRA_52106,,live
Essence of Bali,error,Transfer not found: TRA_52108,,live
